Date,Close,High,Low,Open,Volume,MA_5,MA_20,MA_60,RSI,Volatility,Volume_MA,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,Williams_R,Price_Change,Price_Change_5,Price_Change_20,Volume_Change,HL_Spread,CO_Spread
2020-06-01,1737.800048828125,1747.0,1727.0999755859375,1740.4000244140625,871,1720.6200439453125,1720.8550170898438,1670.776670328776,60.340644888425814,19.150627346940578,8455.1,10.216219300120201,12.155591385372059,-1.9393720852518577,1759.156271783725,1720.8550170898438,1682.5537623959626,0.0445142145195391,0.7212072668860662,61.484167528155965,51.51164412416372,-38.515832471844035,0.0005181785948595863,0.0018448479691155484,0.025553289364488085,-0.42922673656618615,0.011451273941142976,-0.0014938953973025995
2020-06-02,1725.199951171875,1745.5,1721.800048828125,1743.0,741,1724.7000244140625,1721.7700134277343,1671.6833353678385,54.976061939330435,18.88410121250058,8476.15,9.451695796780996,11.61481226761775,-2.163116470836755,1759.5382158527354,1721.7700134277343,1684.0018110027331,0.04387136740732459,0.5454077441328029,46.643067371578184,56.18376776836649,-53.356932628421816,-0.007250602659809369,0.011966155419676827,0.010721147399417541,-0.14925373134328357,0.013737509762724231,-0.01021230569599828
2020-06-03,1697.800048828125,1726.300048828125,1684.5,1726.300048828125,2755,1722.2000244140625,1721.4400146484375,1672.071669514974,46.45218352205203,19.2575904299141,8609.8,6.559830241944837,10.60381586242918,-4.043985620484342,1759.9551955082657,1721.4400146484375,1682.9248337886092,0.04474763050944183,0.19310846668035225,15.465173055959303,41.19746931856447,-84.5348269440407,-0.015882160398357326,-0.007308659090879854,-0.00387231605925753,2.717948717948718,0.024620124647173093,-0.016509296874171343
2020-06-04,1718.9000244140625,1718.9000244140625,1694.5,1694.5,807,1723.32001953125,1723.1750183105469,1673.0683369954427,45.710462929428246,17.176583605321873,8626.7,5.902146297810077,9.66348194946519,-3.761335651655113,1757.5281855211906,1723.1750183105469,1688.8218510999031,0.039871942020520496,0.43777875166107183,40.00002838844477,34.03608960532741,-59.99997161155524,0.012427833065796756,0.0032685317377816325,0.020603297855485092,-0.7070780399274047,0.014195138790797309,0.014399542292158453
2020-06-05,1676.199951171875,1711.800048828125,1668.5999755859375,1711.800048828125,1502,1711.1800048828125,1720.8950134277343,1673.6483357747395,34.63373292921813,20.139596254974027,8659.15,1.9141082450491922,8.113607208529023,-6.199498963479831,1761.1742059376822,1720.8950134277343,1680.6158209177863,0.046811911471250724,-0.05481576802738427,7.458266697813157,20.97448938073907,-92.54173330218684,-0.02484151063802742,-0.034947361614934946,-0.02648396815140408,0.8612143742255267,0.02577262528374685,-0.020796878514299226
2020-06-08,1698.300048828125,1699.4000244140625,1675.9000244140625,1679.0999755859375,587,1703.2800048828126,1720.3150146484375,1675.4650024414063,43.345250993488605,20.633873630667892,8672.0,0.530370095703347,6.596959785922423,-6.066589690219076,1761.5827619097731,1720.3150146484375,1679.0472673871018,0.04797696574167159,0.2332666878943186,35.56894999064371,27.6757483589672,-64.43105000935628,0.013184642823070858,-0.02272988772594209,-0.00678400808252666,-0.6091877496671105,0.01383736638070267,0.011434740945361194
2020-06-09,1714.699951171875,1720.9000244140625,1692.0,1694.5999755859375,690,1701.1800048828125,1721.285009765625,1678.781669108073,44.231520212498815,19.836623083033064,8669.05,0.7482017286693008,5.427208174446213,-4.6790064457769125,1760.9582559316912,1721.285009765625,1681.611763599559,0.046097242398535826,0.417008825466587,55.209551599925156,32.745589429460665,-44.79044840007485,0.009656657759072873,-0.006086251041722779,0.011443344413963885,0.17546848381601365,0.016854274938487866,0.01186119194825763
2020-06-10,1713.300048828125,1740.800048828125,1711.9000244140625,1716.0999755859375,718,1704.2800048828126,1721.7300109863281,1682.571669514974,42.5608392132765,19.535442878266746,8688.75,0.7986874660737158,4.501504032755515,-3.7028165666817996,1760.8008967428616,1721.7300109863281,1682.6591252297947,0.045385612735124384,0.3921196436301235,57.015381788796624,49.264627793121825,-42.984618211203376,-0.0008164124241055726,0.009129461393700966,0.005221793174476241,0.04057971014492745,0.016868046220993072,-0.0016315638935059744
2020-06-11,1732.0,1744.0999755859375,1720.0,1737.199951171875,347,1706.9,1722.635009765625,1686.0233357747395,52.4028435825549,19.572833710016088,8684.55,2.3206235441584795,4.065327935030003,-1.7447043908715232,1761.7806771856572,1722.635009765625,1683.4893423455928,0.045448591487012885,0.6196171997004017,80.86735289675563,64.36409542849246,-19.13264710324436,0.010914580423122988,0.007621138751454204,0.010560695097793449,-0.5167130919220055,0.013914535557700634,-0.002993294564835345
2020-06-12,1729.300048828125,1743.0,1724.9000244140625,1724.9000244140625,318,1717.52001953125,1722.1950134277345,1690.2233357747396,48.837224250182786,19.30394861665271,8666.85,3.271227382553434,3.90650782453291,-0.635280441979476,1760.80291066104,1722.1950134277345,1683.587116194429,0.04483568577575089,0.5920153117567525,77.42353869892395,71.76875779482539,-22.576461301076055,-0.0015588632632073107,0.03167885646287383,-0.0050629577592887776,-0.08357348703170031,0.010466648398121023,0.002550886632143889
2020-06-15,1720.300048828125,1730.0,1703.300048828125,1730.0,188,1721.92001953125,1720.5400146484376,1694.251670328776,53.742156195883204,17.852117628597732,8640.3,3.2608757276489087,3.777381405154953,-0.5165056775060441,1756.244249905633,1720.5400146484376,1684.835779391242,0.041503522095638117,0.49663953283715506,65.94395043697733,74.74494734421897,-34.056049563022675,-0.005204417825639296,0.012954130228743033,-0.01887759502969011,-0.4088050314465409,0.015520519917477832,-0.00560690819183526
2020-06-16,1729.5999755859375,1729.5999755859375,1722.4000244140625,1726.300048828125,22,1724.9000244140625,1720.4300109863282,1698.3450032552084,54.575615662754515,17.78573715831439,8629.95,3.957379457678144,3.813381015659849,0.1439984420182947,1756.001485302957,1720.4300109863282,1684.8585366696993,0.04135184121350638,0.6288949189733554,77.8060982198604,73.72452911858723,-22.1939017801396,0.005405991102626295,0.008689581173592087,-0.0012703968011066324,-0.8829787234042553,0.00416278403879826,0.001911560368692922
